aoi_id,event_date,reach,reach_type,flooded_cropland_ha_union,chirps_mm_prev7d,discharge_m3s,drought_baseline_m3s,discharge_ratio_vs_baseline,mechanism,source_interpretation
deir_ez_zor,2026-03-04,euphrates_deir_ez_zor,transboundary,10243.44,0.51,988.1,480.4,2.06,riverine,upstream/transboundary discharge (Euphrates)
deir_ez_zor,2026-06-02,euphrates_deir_ez_zor,transboundary,17677.17,0,1555.4,480.4,3.24,riverine,upstream/transboundary discharge (Euphrates)
deir_ez_zor,2026-06-03,euphrates_deir_ez_zor,transboundary,22165.92,0,1577.4,480.4,3.28,riverine,upstream/transboundary discharge (Euphrates)
deir_ez_zor,2026-06-06,euphrates_deir_ez_zor,transboundary,10727.01,0,1608.7,480.4,3.35,riverine,upstream/transboundary discharge (Euphrates)
deir_ez_zor,2026-06-07,euphrates_deir_ez_zor,transboundary,16564.05,0,1620.5,480.4,3.37,riverine,upstream/transboundary discharge (Euphrates)
raqqa,2026-03-02,euphrates_raqqa,transboundary,6036.93,3.32,1301.6,483.0,2.69,riverine,upstream/transboundary discharge (Euphrates)
raqqa,2026-05-31,euphrates_raqqa,transboundary,15844.95,0,1538.1,483.0,3.18,riverine,upstream/transboundary discharge (Euphrates)
raqqa,2026-06-06,euphrates_raqqa,transboundary,33578.82,0,1619.4,483.0,3.35,riverine,upstream/transboundary discharge (Euphrates)
raqqa,2026-06-07,euphrates_raqqa,transboundary,44665.02,0,1632.2,483.0,3.38,riverine,upstream/transboundary discharge (Euphrates)
raqqa,2026-06-08,euphrates_raqqa,transboundary,10567.71,0,1645.1,483.0,3.41,riverine,upstream/transboundary discharge (Euphrates)
hasakah,2026-03-03,khabur_hasakah,rainfed_tributary,32456.07,4.81,138.3,15.6,8.89,riverine,regional rainfall via rain-fed tributary (Khabur)
hasakah,2026-03-04,khabur_hasakah,rainfed_tributary,21338.82,9.35,90.2,15.6,5.79,riverine,regional rainfall via rain-fed tributary (Khabur)
hasakah,2026-06-02,khabur_hasakah,rainfed_tributary,24745.32,0,10.8,15.6,0.7,unexplained,"no identified water source — FLAG (possible SAR harvest artifact, DEC-023)"
hasakah,2026-06-03,khabur_hasakah,rainfed_tributary,28071.72,0,10.3,15.6,0.66,unexplained,"no identified water source — FLAG (possible SAR harvest artifact, DEC-023)"
hasakah,2026-06-07,khabur_hasakah,rainfed_tributary,38672.91,0,9.2,15.6,0.59,unexplained,"no identified water source — FLAG (possible SAR harvest artifact, DEC-023)"
