aoi_id,phenomenon,damaged_ha_headline_union,damaged_ha_low_intersection,damaged_ha_season_ref_union,baseline_yield_t_ha,baseline_production_2025_t,production_loss_t_headline,production_loss_t_low,production_loss_t_season_ref,loss_pct_of_baseline_headline
deir_ez_zor,flood,22165.92,1294.92,34490.88,0.2234,65577.0,4952.4,289.3,7706.1,7.552
hasakah,flood,38672.91,6733.35,75755.97,0.2234,345841.0,8640.5,1504.4,16925.7,2.498
raqqa,flood,44665.02,892.44,58009.32,0.2234,131184.0,9979.2,199.4,12960.6,7.607
aleppo,fire,990.58,500.22,990.58,0.2234,235306.0,221.3,111.8,221.3,0.094
daraa,fire,721.53,237.66,721.53,0.2234,64806.0,161.2,53.1,161.2,0.249
deir_ez_zor,fire,197.81,9.47,197.81,0.2234,65577.0,44.2,2.1,44.2,0.067
hama,fire,446.59,193.06,446.59,0.2234,94503.0,99.8,43.1,99.8,0.106
hasakah,fire,4123.5,3194.12,4123.5,0.2234,345841.0,921.3,713.6,921.3,0.266
homs,fire,740.04,353.51,740.04,0.2234,76073.0,165.3,79.0,165.3,0.217
idlib,fire,901.17,709.22,901.17,0.2234,75069.0,201.3,158.5,201.3,0.268
quneitra,fire,339.65,79.15,339.65,0.2234,20544.0,75.9,17.7,75.9,0.369
raqqa,fire,1224.52,922.42,1224.52,0.2234,131184.0,273.6,206.1,273.6,0.209
rural_damascus,fire,524.4,240.31,524.4,0.2234,33660.0,117.2,53.7,117.2,0.348
suwayda,fire,93.15,5.67,93.15,0.2234,52600.0,20.8,1.3,20.8,0.04
tartus,fire,229.99,167.98,229.99,0.2234,3386.0,51.4,37.5,51.4,1.518
